Subject,Lecturer,Alaa Mohasseb,Alex Bennett,Alexander Gegov,Alice Good,Amanda Peart,Asim Ali,Athanasios Paraskelidis,Atefeh Khazaei,"Bander 
Al-rimy",Carrie Toptan,Claudia Iacob,Dalin Zhou,David Williams,Dongxu Gao,Elisavet Andrikopoulou,Ella Haig,Fahad Ahmad,Farzad Arabikhan,Femi Fasunlade,Grace Golcarenarenji,Hamid Khaleghzadeh,Hasheem Danbatta,Honghai Liu,Ioannis Kagalidis,Ivan Jordanov,Janka Chlebikova,Jiacheng Tan,John Cox,Julian Murphy,Katerina Kanta,Kirsten Smith,Linda Yang,Mani Ghahremani,Marjan Golmaryami ,Mark Venn,Martin Sparrius,Matt Dennis,Matthew Poole,Mo Adda,"Mohamed 
Bader",Nadim Bakhshov,Nasreen Anjum,Olumuyiwa Matthew,Paolo Serafino,Peter Bednar,Priscilla Boadi,Rahim Taheri,Rich Boakes,Rinat Khusainov,Ronel Beukman,Shelley Usher,Shikun Zhou,Sohail Safdar,Stavros Shiaeles,Taiwo Adedeji,Tamer Elboghdadly,Tobi Fajana,Uchenna Ogenyi,Valentin Adamescu,Vasileios Adamos,Xia Han,Zaynab Lamoyero,Zhaojie Ju,Eslam Amer (CREATE Team),,,,,,,
,Use of Emerging Technologies,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,y,y,,Y,y,y,Y,,,,,,,,,,,,,,,
,Work System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,y,,Y,,y,,,,,,,,,,,,,,,,
Computation / Maths,Computational Complexity,,,Y,,,y,,,,,,,,,,,,,,,,,,,,Y,,,,y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,
,Computational Intelligence,,,y,,,y,,,,y,,y,,y,y,y,y,y,,,y,,,,y,,,,y,,,,Y,,,,,,,,y,,,,,,,,Y,y,,,,y,,Y,,,,,,,,,,,,,,,
,Computational Neuroscience,,,,,,,,,,y,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,,Y,,,,,,,,
,Computational Psychology,,,,,,,,,,y,,,,,y,,,,,,,,,,,,,,,,,,,,,,Y,,,,y,,,,,,,Y,,y,,,,,,,,,,,,,,,,,,,,,
,Discrete Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
,Graph Theory,,,,,,y,,,,,,,,,,,,,,,,,Y,,,y,,,,y,,,Y,,,,,,,,y,,,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,
,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,Y,,,,,,,,,,,Y,,,,,,,y,,,,,Y,,,,,,,,,,,,,,,
,Number Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
